,districtText,furnishingCode,value,floorArea,bedrooms,bathrooms,pricePerSqFt,hasFloorplans,latitude,longitude
211, Hougang  /  Punggol  /  Sengkang ,UNFUR,485000,1237,3,2,392.0776071,TRUE,1.376692492,103.8794308
212, Hougang  /  Punggol  /  Sengkang ,UNFUR,500000,1184,3,2,422.2972973,TRUE,1.399112297,103.9055072
213, Pasir  Ris  /  Tampines ,UNKNOWN,470000,1313,3,2,357.9588728,TRUE,1.378857948,103.9405814
214, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,238000,506,1,1,470.3557312,TRUE,1.3894009,103.9104375
215, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,520000,1184,3,2,439.1891892,TRUE,1.382958798,103.8979432
216, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,460000,1184,3,2,388.5135135,TRUE,1.393667125,103.9016175
217, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,390000,969,3,2,402.4767802,FALSE,1.392174586,103.8928603
218, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,420000,1184,3,2,354.7297297,TRUE,1.39091919,103.8845984
219, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,418000,1184,3,2,353.0405405,TRUE,1.3898489,103.887002
220, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,538000,1399,4,2,384.5604003,TRUE,1.391781649,103.8850947
221, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,575000,1399,3,2,411.0078628,TRUE,1.386992409,103.8955447
222, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,380000,969,3,2,392.1568627,FALSE,1.389071756,103.8928001
223, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,600000,1399,4,2,428.8777698,TRUE,1.386992409,103.8955447
224, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,360000,915,3,2,393.442623,TRUE,1.387405744,103.8896801
225, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,455000,1313,3,2,346.5346535,TRUE,1.387886711,103.9048132
